baths,beds,city,area,lotSize,price,sqFt,stories,yearBuilt,zipcode
3,5,Gulfport,Florence Gardens,,469025,3686,2,2021,39503
2,3,Gulfport,Hatten Farms,11761,205980,1740,1,2021,39503
2,3,Gulfport,Grand Oaks Estates,16117,258115,1925,1,2021,39503
2,3,Gulfport,Grand Lido,,79900,1176,2,2008,39507
3,4,Gulfport,Canal Crossing,,225350,2200,1,2020,39503
2,3,Gulfport,Landon Green,,249670,1530,1,2021,39503
2.5,3,Gulfport,Palmer Village Con,,159500,1820,2,2008,39507
2,3,Gulfport,Audubon Lake,,188490,1387,,2021,39501
2,4,Gulfport,Grand Oaks Estates,15245,309840,2636,1,2021,39503
2,3,Gulfport,Florence Gardens,,339400,1785,1,2020,39503
2.5,3,Gulfport,Florence Gardens,3491769600,329900,2051,1,2021,39503
2.5,3,Gulfport,Florence Gardens,,321690,2088,2,2021,39503
2,3,Gulfport,North Gulfport,58370400,175000,1306,1,2022,39501
2,4,Gulfport,Savoy Place,10018,311070,2204,1,2023,39503
2.5,4,Gulfport,Landon Green,12632,499900,2501,1,2022,39503
3,4,Gulfport,Florence Gardens,5662,359990,2525,2,2022,39503
2,3,Gulfport,Savoy Place,9147,278985,1848,1,2023,39503
2,3,Gulfport,Belvedere Place,7405,221110,1452,1,2023,39503
2,3,Gulfport,Savoy Place,8712,278515,1848,1,2023,39503
3,4,Gulfport,Savoy Place,9147,296905,2092,1,2023,39503
2,3,Gulfport,Belvedere Place,7405,243910,1624,1,2023,39503
2,3,Gulfport,Savoy Place,8276,289770,1925,1,2023,39503
2,3,Gulfport,Gulfview,6969,450000,1428,1,2023,39507
7.5,9,,,8712,,4008,2,2009,39531
2,4,Gulfport,Forest Ridge,11761,342990,2114,1,2023,39503
2,4,Gulfport,Crystal Lake,6969,276275,1906,1,2024,39503
2,4,Gulfport,Landry Trace,11761,305905,2120,1,2024,39503
2,3,Gulfport,Landon Green,7840,250990,1483,1,2024,39503
2,3,Gulfport,Gulfport,8276,277900,1650,1,2024,39503
2,4,Gulfport,High Point,9583,299990,2314,1,2024,39503
3.5,3,Gulfport,The Quarters,,179000,1600,3,1992,39507
2,4,Gulfport,Grand Oaks Estates,36154,272215,2314,1,2021,39503
2,3,Gulfport,Central Beach,10890,435000,1908,1,2022,39501
2,3,Gulfport,Sanctuary Trails,9147,221990,1313,1,2022,39503
3,5,Gulfport,Magnolia Springs,14374,315900,2495,1,2023,39503
2,4,Gulfport,Magnolia Springs,11325,300900,2289,1,2023,39503
,,Gulfport,,9183,7947,,,,39501
1,,Gulfport,,11570,86500,1373,,2003,39507
1,,Gulfport,,9475,115000,1172,,2002,39503
1,3,Gulfport,Metes And Bounds,,60000,1586,,1951,39501
,,Gulfport,,11400,15525,,,,39501
,,Gulfport,,6651,12000,1280,,1994,39503
2,3,Gulfport,Bel-Aire,,94000,1482,,1969,39503
,3,Gulfport,,10732,44000,1036,1,1969,39501
3.5,4,Gulfport,Brighton Place,,460000,3462,,1995,39503
2,3,Gulfport,Wind Rose,,160000,1740,1,2009,39503
,,Gulfport,Metes And Bounds,,120000,,,,39501
,,Gulfport,Beach Grove,,22000,,,,39501
,,Gulfport,Metes And Bounds,435600,150000,,,,39503
,,Gulfport,Jonestown-Mcaughan,,3000,,,,39501
,,Gulfport,Metes And Bounds,20473,13000,,,,39503
,,Gulfport,Original Gulfport,474368400,79000,,,,39501
,,Gulfport,Metes And Bounds,810216,325000,,,,39503
,,Gulfport,Sherwood Estates,,17000,,,,39507
,,Gulfport,Metes And Bounds,,16999,,,,39507
,,Gulfport,Metes And Bounds,17859,49600,,,,39507
,,Gulfport,Olivet,,4900,,,,39503
,,Gulfport,Mccaughns Great So,,29900,,,,39501
,,Gulfport,Gaston Point,,52500,,,,39501
,,Gulfport,Bayou Oaks,39639,550000,,,,39503
,,Gulfport,Metes And Bounds,370260,132000,,,,39503
,,Gulfport,North Gulfport,5662,18000,,,,39501
,,Gulfport,Rolling Meadows,,4900,,,,39501
,,Gulfport,Metes And Bounds,,72500,,,,39501
,,Gulfport,Windance,,62000,,,,39503
,,Gulfport,Metes And Bounds,,7150,,,,39501
,,Gulfport,Windance,,39900,,,,39503
,,Gulfport,Landon Lakes,,35000,,,,39503
,,Gulfport,Olivet,,4900,,,,39503
,,Gulfport,Northwood Hills,10018,7900,,,,39503
,,Gulfport,Bayou View,,49500,,,,39507
,,Gulfport,Metes And Bounds,,295000,,,,39503
,,Saucier,Metes And Bounds,,120000,,,,39574
2.5,4,Gulfport,Wind Rose,,207499,2532,1,2006,39503
2,3,Gulfport,Country Hills,,169850,1665,1,2007,39503
2.5,4,Gulfport,Reservation Estate,13068,204900,3097,,1980,39503
2,4,Gulfport,Northwood Hills,,189900,2101,1,1972,39503
2,3,Gulfport,Northwood Hills,,156000,1569,1,1972,39503
2,4,Gulfport,Metes And Bounds,165528,220000,2481,1,1978,39503
1,3,Gulfport,Olivet,,55000,1266,,1970,39503
2,3,Gulfport,Wildwood,12632,145000,1744,1,1975,39503
1,3,Gulfport,Wildwood,11761,61750,1261,1,1977,39503
2,3,Gulfport,Northwood Hills,8712,229000,1556,1,1994,39503
2,3,Gulfport,Northwood Hills,,171500,1760,1,1978,39503
3,5,Gulfport,Bel-Aire,,186500,2300,1,1968,39503
2,3,Gulfport,Janelle Lynn,11325,132000,1748,1,1984,39503
2,4,Gulfport,Cypress Pond,,159900,2189,1,2000,39503
2,3,Gulfport,Country Hills,,115000,1124,1,1996,39503
2,4,Gulfport,Harmony,,169900,1850,1,2007,39503
2,3,Gulfport,Kerns,9583,120000,1319,1,1970,39503
3.5,4,Gulfport,Retreat Village,23522,370000,3105,3,1973,39503
2,3,Gulfport,Five Oaks,,98500,1150,1,1996,39503
2.5,3,Gulfport,Swan Lake Estates,24829,319000,2700,1,2000,39503
1,4,Gulfport,Metes And Bounds,38768,55000,1521,,1948,39503
2,4,Gulfport,Camelot Estates,,249900,2625,1,2007,39503
2,3,Gulfport,South Fork,26571,229900,2308,1,2002,39503
2,3,Gulfport,Quail Ridge,78408,240000,1923,1,1985,39503
2,3,Gulfport,Briarwood,10890,135900,1358,1,1976,39503
2,3,Gulfport,Westwood Hills,,107000,1201,,1999,39503
2.5,4,Gulfport,Metes And Bounds,,199900,2016,2,1996,39503
2,4,Gulfport,Gulfport,44866,205000,2328,1,1977,39503
2,3,Gulfport,Northwood Hills,10454,158000,1344,1,1986,39503
2,3,Gulfport,Bel-Aire,,125000,1075,1,1962,39503
2,4,Gulfport,Magnolia Estates,,215000,2144,1,2003,39503
2,3,Gulfport,Northwood Hills,,125000,1230,1,1978,39503
2.5,4,Gulfport,Swan Lake Estates,16552,315000,2247,1,2001,39503
3,3,Gulfport,Metes And Bounds,95832,475000,3000,1,2007,39503
2,3,Gulfport,Northwood Hills,10890,154900,1559,1,2003,39503
2,4,Gulfport,Camelot Estates,,295000,2222,1,2007,39503
2,3,Gulfport,Roxbury Place,,199900,1896,1,2005,39503
1,3,Gulfport,Metes And Bounds,46434960,119000,1066,1,1964,39503
2,3,Gulfport,Huntington,9147,199900,1465,1,1998,39503
2,4,Gulfport,Wind Rose,,200000,2100,1,2002,39503
3,4,Gulfport,Northwood Hills,,169900,3085,2,1979,39503
2,3,Gulfport,Briarwood,,145000,1254,1,1976,39503
2,4,Gulfport,Northwood Hills,,169900,1657,1,1974,39503
2,4,Gulfport,Pine Hills,,119900,1301,1,1977,39503
2,3,Gulfport,Wingate,,119500,1131,1,1995,39503
3,4,Gulfport,Magnolia Creek Est,,265000,3000,1,2003,39503
2,3,Gulfport,Oakleigh Manor,14374,75000,1344,1,1975,39503
1.5,3,Gulfport,Bel-Aire,10018,62000,1102,1,1968,39503
2,3,Gulfport,Pebble Creek,,97000,1176,1,2008,39503
1,3,Gulfport,Metes And Bounds,43560,24500,1680,1,2008,39503
2,3,Gulfport,Northwood Hills,,174900,1854,,1985,39503
2,3,Gulfport,Northwood Hills,,135900,1480,1,1981,39503
1,1,Gulfport,Retreat Village,,189900,832,2,1997,39503
1,2,Gulfport,Metes And Bounds,,89900,1000,,1999,39503
2,3,Gulfport,Duckworth Pond,10890,205300,1504,1,2014,39503
3,2,Gulfport,Retreat Village,,199650,1280,2,1978,39503
2,3,Gulfport,Turtle Creek,,162000,1162,1,2014,39503
2,3,Gulfport,Hunters Chase,,218900,1658,1,2013,39503
1.5,4,Gulfport,Pine Hills,8712,140000,1457,1,1968,39503
2,3,Gulfport,Hunters Chase,10454,174900,1500,1,2010,39503
2,3,Gulfport,Hatten Farms,,229000,1839,,2013,39503
1.5,3,Gulfport,Highland,14810,129900,1500,1,1964,39503
2.5,3,Gulfport,Swan Lake Estates,,315000,2764,1,1998,39503
2,3,Gulfport,Crystal Well,10018,109400,1478,1,2002,39503
2,3,Gulfport,June Savannah,,145800,1368,1,1998,39503
2,3,Gulfport,Northwood Hills,,159900,1590,1,2003,39503
1,3,Gulfport,Meadows Of Glfpt,,56500,912,,1989,39503
2,4,Gulfport,Wind Rose,14374,240000,2310,1,2001,39503
